	ID	4.3	5.4	5.5	6.4	6.5	16.4	18.2	18.3	25.4	26.4	26.5	29.2	29.3	29.4	29.5	BC1.1	BC1.2	MC1.1	MC1.2	MC1.3	MC3.1	MC3.2	MC3.3	PC1.1	PC1.2	PC1.3	PC2.1	PC2.2	PC2.3	PC3.1	PC3.2	PC3.3
64	1000406-31-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	408153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	1000481-55-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50787.0	0.0	0.0	0.0	0.0	0.0
66	1000482-34-4	0.0	0.0	0.0	0.0	0.0	539762.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67	822-06-0	0.0	0.0	0.0	0.0	524678.0	0.0	0.0	0.0	0.0	0.0	424926	651875.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68	54889-57-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70517.0
69	644-30-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1709295.0	2280867.0	2300686.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	1000210-42-6	0.0	387746.0	511166.5	0.0	213148.0	0.0	185881.0	513700.0	0.0	0.0	0	0.0	0.0	596450.0	288946.0	746122.0	0.0	0.0	0.0	0.0	98598.0	76107.0	90874.5	0.0	9528.0	11929.0	0.0	74250.0	10219.0	116239.0	0.0	0.0
71	57-11-4	5446388.0	1891960.0	671296.0	532089.0	883902.0	0.0	0.0	838227.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72	18115-70-3	473639.0	496589.0	515068.0	401789.0	487800.0	496931.0	472813.0	434362.0	0.0	0.0	0	0.0	0.0	546854.0	603326.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	119-47-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173355.0	0.0	0.0	0	0.0	0.0	0.0	205054.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
